epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.167,1.36106,4.13303,1.2596,0.00116,0.29365,0.00127,0.00055,1.72796,4.19626,1.81022,0.0874,0.0014,0.0014
2,7.493,1.37133,2.42403,1.32078,0.00013,0.04762,8e-05,2e-05,3.14776,inf,46.4398,0.0738713,0.00287129,0.00287129
3,11.6008,1.41356,2.06084,1.36716,0,0,0,0,4.47714,inf,26.5568,0.0603129,0.00431288,0.00431288
4,14.7588,1.43272,2.03421,1.37241,2e-05,0.01905,1e-05,0,3.86693,inf,32.8769,0.0467248,0.00572477,0.00572477
5,18.1969,1.36082,1.87534,1.3497,9e-05,0.09524,7e-05,2e-05,4.15098,inf,38.5453,0.033107,0.00710696,0.00710696
6,21.2058,1.35833,1.84841,1.3369,6e-05,0.02381,4e-05,1e-05,3.97056,inf,15.2868,0.0194595,0.00845945,0.00845945
7,24.4355,1.31616,1.82092,1.31906,0.40015,0.06667,8e-05,2e-05,3.54815,inf,5.60294,0.009406,0.009406,0.009406
8,27.3491,1.31868,1.75685,1.34071,0.0008,0.06667,0.00062,0.00033,2.9435,inf,3.61964,0.009307,0.009307,0.009307
9,30.2801,1.28414,1.70206,1.31782,0.17693,0.4181,0.15069,0.07802,1.5564,inf,2.06826,0.009208,0.009208,0.009208
10,33.3421,1.20513,1.56502,1.24849,0.87,0.06667,0.05161,0.02671,2.01089,38.8366,2.71698,0.009109,0.009109,0.009109
11,36.4406,1.16934,1.50194,1.22246,0.00075,0.1,0.00049,0.00021,2.54217,27.7656,3.16236,0.00901,0.00901,0.00901
12,39.2516,1.18075,1.48573,1.25505,0.75949,0.2619,0.24019,0.14266,1.30044,11.6547,1.45552,0.008911,0.008911,0.008911
13,42.401,1.11059,1.42731,1.20598,0.73296,0.40794,0.40635,0.28571,1.10701,7.05371,1.26037,0.008812,0.008812,0.008812
14,45.3878,1.099,1.36627,1.19554,0.53726,0.4346,0.52465,0.37024,1.02917,6.51934,1.25357,0.008713,0.008713,0.008713
15,48.3126,1.08543,1.25966,1.18372,0.90089,0.56085,0.68816,0.47091,1.05033,2.32353,1.26117,0.008614,0.008614,0.008614
16,51.3521,1.09995,1.31981,1.16708,0.59591,0.4809,0.54644,0.35086,1.2125,2.3899,1.3827,0.008515,0.008515,0.008515
17,54.4507,1.07996,1.28579,1.17289,0.61208,0.63372,0.59194,0.41245,1.11577,15.5008,1.29593,0.008416,0.008416,0.008416
18,57.3107,1.05326,1.32268,1.1759,0.4618,0.57778,0.53779,0.39643,1.03196,5.8911,1.26511,0.008317,0.008317,0.008317
19,60.4238,1.02795,1.21352,1.15198,0.7628,0.60256,0.69586,0.50347,1.17083,3.56449,1.38307,0.008218,0.008218,0.008218
20,63.3467,0.98409,1.15101,1.1085,0.79903,0.63166,0.80325,0.59076,1.00652,1.31968,1.15978,0.008119,0.008119,0.008119
21,66.335,0.95669,1.0725,1.08013,0.74607,0.73587,0.8094,0.60276,0.98479,1.11681,1.19429,0.00802,0.00802,0.00802
22,69.4756,0.93927,1.05564,1.10171,0.74753,0.73831,0.77849,0.61149,0.81162,1.48972,1.09312,0.007921,0.007921,0.007921
23,72.4731,0.95951,1.05722,1.09373,0.75273,0.7898,0.79339,0.59734,0.88181,1.661,1.09384,0.007822,0.007822,0.007822
24,75.3187,0.94809,1.03269,1.08217,0.73638,0.57706,0.64721,0.51062,0.8757,3.55338,1.12105,0.007723,0.007723,0.007723
25,78.3793,0.93635,1.01269,1.09708,0.70247,0.61089,0.70635,0.54255,0.80661,2.4291,1.02883,0.007624,0.007624,0.007624
26,81.1283,0.90094,1.02916,1.06712,0.9254,0.74509,0.92915,0.71758,0.85182,1.14378,1.12332,0.007525,0.007525,0.007525
27,84.0337,0.93107,1.01664,1.09537,0.57048,0.19905,0.20018,0.11537,1.76517,5.08102,2.04292,0.007426,0.007426,0.007426
28,87.2982,0.91098,1.04206,1.08554,0.78523,0.73986,0.81753,0.65491,0.76083,1.10556,1.03085,0.007327,0.007327,0.007327
29,90.2866,0.87342,0.96652,1.05393,0.92831,0.68708,0.85968,0.68823,0.76745,0.89143,1.06468,0.007228,0.007228,0.007228
30,93.1064,0.83918,0.97455,1.04098,0.90245,0.81879,0.89294,0.71826,0.75542,0.83011,1.035,0.007129,0.007129,0.007129
31,96.1681,0.84513,0.93563,1.04187,0.87597,0.73911,0.86726,0.69977,0.73747,1.51929,1.0272,0.00703,0.00703,0.00703
32,98.9741,0.88107,0.94244,1.05056,0.93809,0.81334,0.94521,0.78196,0.76429,0.7439,1.05999,0.006931,0.006931,0.006931
33,102.132,0.86524,0.90105,1.07081,0.88322,0.65798,0.77548,0.63603,0.78408,1.36627,1.06067,0.006832,0.006832,0.006832
34,105.184,0.85242,0.92231,1.0323,0.79727,0.73511,0.87795,0.71753,0.70059,0.87684,0.97911,0.006733,0.006733,0.006733
35,108.137,0.86875,0.92658,1.05047,0.91135,0.83568,0.9461,0.79144,0.6641,0.69404,0.99616,0.006634,0.006634,0.006634
36,111.133,0.825,0.86482,1.0306,0.85757,0.86464,0.92211,0.73954,0.74903,0.91657,1.0383,0.006535,0.006535,0.006535
37,114.189,0.82957,0.87255,1.02105,0.83303,0.79642,0.90764,0.74556,0.71544,0.81162,1.02475,0.006436,0.006436,0.006436
38,116.997,0.81347,0.84423,1.01794,0.92312,0.81426,0.94838,0.80828,0.64724,0.66663,0.98402,0.006337,0.006337,0.006337
39,120.319,0.82605,0.83153,1.01949,0.88566,0.84022,0.93495,0.76888,0.71611,0.78534,0.99579,0.006238,0.006238,0.006238
40,123.356,0.7939,0.78548,1.00505,0.89534,0.87058,0.93514,0.79008,0.66243,0.65481,0.97257,0.006139,0.006139,0.006139
41,126.305,0.7929,0.82796,1.00675,0.97444,0.81039,0.93365,0.79395,0.66275,0.68391,0.98469,0.00604,0.00604,0.00604
42,129.402,0.75994,0.76569,0.99099,0.88314,0.87329,0.95655,0.80108,0.69455,0.74177,0.9874,0.005941,0.005941,0.005941
43,132.398,0.75853,0.7504,1.0034,0.94815,0.8825,0.97862,0.82851,0.66319,0.61666,0.96942,0.005842,0.005842,0.005842
44,135.193,0.7633,0.79185,0.99426,0.82406,0.89949,0.91548,0.74578,0.75127,0.8193,1.00483,0.005743,0.005743,0.005743
45,138.279,0.80144,0.79676,1.00815,0.9252,0.83111,0.95263,0.80938,0.6482,0.60484,0.9618,0.005644,0.005644,0.005644
46,141.17,0.7617,0.74776,0.99711,0.95513,0.85691,0.97154,0.82896,0.62019,0.59008,0.93603,0.005545,0.005545,0.005545
47,144.11,0.72779,0.7296,0.99366,0.9104,0.84541,0.96466,0.79607,0.68599,0.65527,0.97753,0.005446,0.005446,0.005446
48,147.055,0.7619,0.7378,0.9961,0.93779,0.86033,0.95943,0.80093,0.64803,0.59431,1.00303,0.005347,0.005347,0.005347
49,150.047,0.74871,0.72732,1.00978,0.88635,0.91627,0.96679,0.82606,0.62734,0.63392,0.99315,0.005248,0.005248,0.005248
50,152.818,0.74116,0.73033,0.99224,0.82433,0.96282,0.94399,0.79529,0.63717,0.65679,0.95042,0.005149,0.005149,0.005149
51,156.112,0.7294,0.73081,0.99061,0.96396,0.95655,0.9898,0.84698,0.60104,0.51926,0.94983,0.00505,0.00505,0.00505
52,159.018,0.74881,0.71603,0.99563,0.91452,0.97314,0.96133,0.83068,0.62024,0.52605,0.96456,0.004951,0.004951,0.004951
53,161.953,0.73211,0.72982,0.99857,0.93407,0.90957,0.97452,0.85025,0.56921,0.59409,0.92779,0.004852,0.004852,0.004852
54,165.065,0.72559,0.68847,0.97651,0.85885,0.94783,0.97613,0.81462,0.63677,0.55479,0.93813,0.004753,0.004753,0.004753
55,167.959,0.7427,0.70268,0.98289,0.95398,0.89979,0.96439,0.82291,0.61509,0.52197,0.95847,0.004654,0.004654,0.004654
